Rank ,Code ,Occupation Title ,AIOE 
1,41-9041 ,Telemarketers ,1.926
2,25-1123 ,"English Language and Literature Teachers, Postsecondary ",1.857
3,25-1124 ,"Foreign Language and Literature Teachers, Postsecondary ",1.814
4,25-1125 ,"History Teachers, Postsecondary ",1.813
5,25-1112 ,"Law Teachers, Postsecondary ",1.802
6,25-1126 ,"Philosophy and Religion Teachers, Postsecondary ",1.8
7,25-1067 ,"Sociology Teachers, Postsecondary ",1.77
8,25-1065 ,"Political Science Teachers, Postsecondary ",1.77
9,25-1111 ,"Criminal Justice and Law Enforcement Teachers, Postsecondary ",1.754
10,19-3041 ,Sociologists ,1.747
11,25-1113 ,"Social Work Teachers, Postsecondary ",1.739
12,25-1066 ,"Psychology Teachers, Postsecondary ",1.716
13,25-1122 ,"Communications Teachers, Postsecondary ",1.702
14,19-3094 ,Political Scientists ,1.687
15,25-1062 ,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary ",1.669
16,23-1022 ,"Arbitrators, Mediators, and Conciliators ",1.647
17,23-1023 ,"Judges, Magistrate Judges, and Magistrates ",1.646
18,25-1064 ,"Geography Teachers, Postsecondary ",1.629
19,25-1082 ,"Library Science Teachers, Postsecondary ",1.626
20,19-3031 ,"Clinical, Counseling, and School Psychologists ",1.626
21,25-1081 ,"Education Teachers, Postsecondary ",1.624
22,25-1011 ,"Business Teachers, Postsecondary ",1.618
23,25-1053 ,"Environmental Science Teachers, Postsecondary ",1.603
24,43-3061 ,Procurement Clerks ,1.59
25,25-1043 ,"Forestry and Conservation Science Teachers, Postsecondary ",1.563
26,13-1071 ,Human Resources Specialists ,1.557
27,13-1111 ,Management Analysts ,1.548
28,23-1021 ,"Administrative Law Judges, Adjudicators, and Hearing Officers ",1.547
29,43-4041 ,"Credit Authorizers, Checkers, and Clerks ",1.546
30,11-9033,"Education Administrators, Postsecondary ",1.545
31,21-1014 ,Mental Health Counselors ,1.537
32,25-1061 ,"Anthropology and Archeology Teachers, Postsecondary ",1.534
33,25-1051 ,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.522
34,27-3031 ,Public Relations Specialists ,1.518
35,23-1012 ,Judicial Law Clerks ,1.513
36,41-9091 ,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511
37,13-1023 ,"Purchasing Agents, Except Wholesale, Retail, and Farm Products ",1.496
38,25-1042 ,"Biological Science Teachers, Postsecondary ",1.493
39,19-3093 ,Historians ,1.491
40,25-3099 ,"Teachers and Instructors, All Other ",1.486
41,43-4161 ,"Human Resources Assistants, Except Payroll and Timekeeping ",1.481
42,29-9092 ,Genetic Counselors ,1.478
43,13-2072 ,Loan Officers ,1.477
44,21-1013 ,Marriage and Family Therapists ,1.473
45,27-3022 ,Reporters and Correspondents ,1.471
46,21-2011 ,Clergy ,1.47
47,25-1192 ,"Home Economics Teachers, Postsecondary ",1.468
48,11-3111,Compensation and Benefits Managers ,1.467
49,25-1063 ,"Economics Teachers, Postsecondary ",1.462
50,23-1011 ,Lawyers ,1.454
51,25-1052 ,"Chemistry Teachers, Postsecondary ",1.45
52,43-4111 ,"Interviewers, Except Eligibility and Loan ",1.449
53,25-3011 ,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.44
54,43-9081 ,Proofreaders and Copy Markers ,1.436
55,13-1075 ,Labor Relations Specialists ,1.431
56,25-1193 ,"Recreation and Fitness Studies Teachers, Postsecondary ",1.429
57,19-3032 ,Industrial-Organizational Psychologists ,1.427
58,41-3021 ,Insurance Sales Agents ,1.427
59,43-4061 ,"Eligibility Interviewers, Government Programs ",1.417
60,43-2021 ,Telephone Operators ,1.412
61,25-1022 ,"Mathematical Science Teachers, Postsecondary ",1.407
62,13-1131 ,Fundraisers ,1.405
63,13-2052 ,Personal Financial Advisors ,1.396
64,11-3061,Purchasing Managers ,1.393
65,25-1021 ,"Computer Science Teachers, Postsecondary ",1.39
66,23-2093 ,"Title Examiners, Abstractors, and Searchers ",1.384
67,11-2031,Public Relations and Fundraising Managers ,1.383
68,25-1191 ,Graduate Teaching Assistants ,1.376
69,29-1066 ,Psychiatrists ,1.366
70,29-1031 ,Dietitians and Nutritionists ,1.364
71,19-3092 ,Geographers ,1.363
72,13-1141 ,"Compensation, Benefits, and Job Analysis Specialists ",1.362
73,11-3121,Human Resources Managers ,1.359
74,13-2061 ,Financial Examiners ,1.358
75,13-1161 ,Market Research Analysts and Marketing Specialists ,1.356
76,13-2071 ,Credit Counselors ,1.355
77,21-2021 ,"Directors, Religious Activities and Education ",1.355
78,27-3091 ,Interpreters and Translators ,1.352
79,41-9021 ,Real Estate Brokers ,1.348
80,29-1127 ,Speech-Language Pathologists ,1.343
81,25-1032 ,"Engineering Teachers, Postsecondary ",1.337
82,11-3131,Training and Development Managers ,1.337
83,43-4031 ,"Court, Municipal, and License Clerks ",1.336
84,25-2053 ,"Special Education Teachers, Middle School ",1.334
85,23-2011 ,Paralegals and Legal Assistants ,1.333
86,19-3011 ,Economists ,1.33
87,19-3039 ,"Psychologists, All Other ",1.33
88,25-9031 ,Instructional Coordinators ,1.324
89,13-1151 ,Training and Development Specialists ,1.323
90,27-3042 ,Technical Writers ,1.317
91,11-9111,Medical and Health Services Managers ,1.315
92,11-1011 ,Chief Executives ,1.309
93,13-2031 ,Budget Analysts ,1.3
94,43-6013 ,Medical Secretaries ,1.298
95,11-3031,Financial Managers ,1.295
96,11-2022,Sales Managers ,1.294
97,25-2022 ,"Middle School Teachers, Except Special and Career/Technical Education",1.284
98,19-1041 ,Epidemiologists ,1.284
99,19-3022 ,Survey Researchers ,1.279
100,41-3041 ,Travel Agents ,1.278
101,43-4131 ,Loan Interviewers and Clerks ,1.274
102,13-2051 ,Financial Analysts ,1.273
103,43-3011 ,Bill and Account Collectors ,1.27
104,13-2053 ,Insurance Underwriters ,1.262
105,41-3031 ,"Securities, Commodities, and Financial Services Sales Agents ",1.26
106,19-2021 ,Atmospheric and Space Scientists ,1.259
107,41-1012 ,First-Line Supervisors of Non-Retail Sales Workers ,1.259
108,43-9041 ,Insurance Claims and Policy Processing Clerks ,1.257
109,43-5011 ,Cargo and Freight Agents ,1.255
110,43-6014 ,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive ",1.254
111,13-2081 ,"Tax Examiners and Collectors, and Revenue Agents ",1.253
112,21-1023 ,Mental Health and Substance Abuse Social Workers ,1.253
113,13-2099 ,"Financial Specialists, All Other ",1.253
114,25-2031 ,"Secondary School Teachers, Except Special and Career/Technical Education",1.249
115,13-1011 ,"Agents and Business Managers of Artists, Performers, and Athletes",1.248
116,25-1031 ,"Architecture Teachers, Postsecondary ",1.246
117,43-2011 ,"Switchboard Operators, Including Answering Service ",1.244
118,15-2041 ,Statisticians ,1.243
119,41-3099 ,"Sales Representatives, Services, All Other ",1.242
120,11-9121,Natural Sciences Managers ,1.241
121,25-1054 ,"Physics Teachers, Postsecondary ",1.24
122,15-2031 ,Operations Research Analysts ,1.234
123,27-3021 ,Broadcast News Analysts ,1.23
124,25-1071 ,"Health Specialties Teachers, Postsecondary ",1.226
125,11-9151,Social and Community Service Managers ,1.225
126,11-2011,Advertising and Promotions Managers ,1.217
127,11-9141,"Property, Real Estate, and Community Association Managers ",1.215
128,13-2011 ,Accountants and Auditors ,1.214
129,21-1011 ,Substance Abuse and Behavioral Disorder Counselors ,1.204
130,11-2021,Marketing Managers ,1.204
131,43-4141 ,New Accounts Clerks ,1.201
132,15-2011 ,Actuaries ,1.2
133,11-9032,"Education Administrators, Elementary and Secondary School ",1.199
134,21-1012 ,"Educational, Guidance, School, and Vocational Counselors ",1.196
135,31-9094 ,Medical Transcriptionists ,1.196
136,27-3041 ,Editors ,1.191
137,43-4021 ,Correspondence Clerks ,1.184
138,27-3043 ,Writers and Authors ,1.17
139,19-1042 ,"Medical Scientists, Except Epidemiologists ",1.167
140,15-2021 ,Mathematicians ,1.166
141,15-1133 ,"Software Developers, Systems Software ",1.166
142,43-3051 ,Payroll and Timekeeping Clerks ,1.155
143,25-1041 ,"Agricultural Sciences Teachers, Postsecondary ",1.154
144,43-6012 ,Legal Secretaries ,1.149
145,29-1065 ,"Pediatricians, General ",1.146
146,13-2082 ,Tax Preparers ,1.144
147,43-3021 ,Billing and Posting Clerks ,1.136
148,43-1011 ,First-Line Supervisors of Office and Administrative Support Workers,1.134
149,13-1051 ,Cost Estimators ,1.134
150,43-5032 ,"Dispatchers, Except Police, Fire, and Ambulance ",1.128
151,19-4061 ,Social Science Research Assistants ,1.126
152,27-3011 ,Radio and Television Announcers ,1.124
153,41-3011 ,Advertising Sales Agents ,1.122
154,17-2011 ,Aerospace Engineers ,1.117
155,29-1062 ,Family and General Practitioners ,1.115
156,13-1031 ,"Claims Adjusters, Examiners, and Investigators ",1.106
157,43-6011 ,Executive Secretaries and Executive Administrative Assistants ,1.106
158,19-2012 ,Physicists ,1.097
159,21-1022 ,Healthcare Social Workers ,1.094
160,13-2041 ,Credit Analysts ,1.092
161,19-3099 ,"Social Scientists and Related Workers, All Other ",1.085
162,13-1081 ,Logisticians ,1.081
163,43-4051 ,Customer Service Representatives ,1.076
164,19-3051 ,Urban and Regional Planners ,1.075
165,17-2161 ,Nuclear Engineers ,1.073
166,39-6012 ,Concierges ,1.071
167,43-9111 ,Statistical Assistants ,1.053
168,15-1121 ,Computer Systems Analysts ,1.046
169,15-1122 ,Information Security Analysts ,1.045
170,17-2081 ,Environmental Engineers ,1.044
171,15-1199 ,"Computer Occupations, All Other ",1.044
172,41-4012 ,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products ",1.039
173,19-2011 ,Astronomers ,1.035
174,17-2171 ,Petroleum Engineers ,1.033
175,43-4171 ,Receptionists and Information Clerks ,1.033
176,27-2041 ,Music Directors and Composers ,1.032
177,17-2151 ,"Mining and Geological Engineers, Including Mining Safety Engineers",1.031
178,43-4011 ,Brokerage Clerks ,1.026
179,41-9031 ,Sales Engineers ,1.026
180,15-1131 ,Computer Programmers ,1.025
181,25-2021 ,"Elementary School Teachers, Except Special Education ",1.017
182,39-1011 ,Gaming Supervisors ,1.015
183,25-1121 ,"Art, Drama, and Music Teachers, Postsecondary ",1.007
184,29-1063 ,"Internists, General ",1.001
185,25-2054 ,"Special Education Teachers, Secondary School ",1
186,15-1141 ,Database Administrators ,0.996
187,25-4021 ,Librarians ,0.978
188,17-2061 ,Computer Hardware Engineers ,0.977
189,19-1011 ,Animal Scientists ,0.972
190,21-1091 ,Health Educators ,0.968
191,15-1111 ,Computer and Information Research Scientists ,0.968
192,2604850,"Education Administrators, Preschool and Childcare Center/Program",0.967
193,21-1021 ,"Child, Family, and School Social Workers ",0.957
194,41-4011 ,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.953
195,409743,Computer and Information Systems Managers ,0.945
196,27-4013 ,Radio Operators ,0.941
197,25-2052 ,"Special Education Teachers, Kindergarten and Elementary School",0.937
198,17-2051 ,Civil Engineers ,0.927
199,13-1199 ,"Business Operations Specialists, All Other ",0.925
200,19-2099 ,"Physical Scientists, All Other ",0.913
201,43-9061 ,"Office Clerks, General ",0.911
202,2666211,"Managers, All Other ",0.91
203,17-2041 ,Chemical Engineers ,0.906
204,17-2112 ,Industrial Engineers ,0.905
205,428005,"Transportation, Storage, and Distribution Managers ",0.905
206,23-2091 ,Court Reporters ,0.903
207,17-2071 ,Electrical Engineers ,0.901
208,2652332,Emergency Management Directors ,0.901
209,21-1092 ,Probation Officers and Correctional Treatment Specialists ,0.897
210,19-1029 ,"Biological Scientists, All Other ",0.883
211,15-1132 ,"Software Developers, Applications ",0.882
212,19-2041 ,"Environmental Scientists and Specialists, Including Health ",0.87
213,2641374,Postmasters and Mail Superintendents ,0.866
214,27-2012 ,Producers and Directors ,0.86
215,17-1012 ,Landscape Architects ,0.836
216,21-1015 ,Rehabilitation Counselors ,0.835
217,25-3021 ,Self-Enrichment Education Teachers ,0.825
218,27-1025 ,Interior Designers ,0.822
219,43-3031 ,"Bookkeeping, Accounting, and Auditing Clerks ",0.818
220,19-1021 ,Biochemists and Biophysicists ,0.794
221,13-1022 ,"Wholesale and Retail Buyers, Except Farm Products ",0.791
222,15-1134 ,Web Developers ,0.789
223,19-2032 ,Materials Scientists ,0.786
224,25-9021 ,Farm and Home Management Advisors ,0.784
225,17-2131 ,Materials Engineers ,0.78
226,43-5031 ,"Police, Fire, and Ambulance Dispatchers ",0.774
227,27-3012 ,Public Address System and Other Announcers ,0.773
228,406090,Administrative Services Managers ,0.768
229,17-2111 ,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.764
230,43-4151 ,Order Clerks ,0.761
231,25-9041 ,Teacher Assistants ,0.748
232,25-1072 ,"Nursing Instructors and Teachers, Postsecondary ",0.744
233,19-3091 ,Anthropologists and Archeologists ,0.739
234,13-1021 ,"Buyers and Purchasing Agents, Farm Products ",0.737
235,39-7011 ,Tour Guides and Escorts ,0.736
236,17-2031 ,Biomedical Engineers ,0.734
237,27-1011 ,Art Directors ,0.727
238,2619460,Gaming Managers ,0.719
239,43-4081 ,"Hotel, Motel, and Resort Desk Clerks ",0.711
240,39-9041 ,Residential Advisors ,0.711
241,41-9022 ,Real Estate Sales Agents ,0.701
242,29-1181 ,Audiologists ,0.696
243,25-4011 ,Archivists ,0.693
244,17-2021 ,Agricultural Engineers ,0.69
245,29-1199 ,"Health Diagnosing and Treating Practitioners, All Other ",0.679
246,17-2141 ,Mechanical Engineers ,0.678
247,11-1021 ,General and Operations Managers ,0.678
248,17-3012 ,Electrical and Electronics Drafters ,0.676
249,19-1020 ,Biologists ,0.662
250,43-5061 ,"Production, Planning, and Expediting Clerks ",0.661
251,27-4032 ,Film and Video Editors ,0.657
252,15-1152 ,Computer Network Support Specialists ,0.657
253,25-4012 ,Curators ,0.656
254,25-2051 ,"Special Education Teachers, Preschool ",0.655
255,25-2012 ,"Kindergarten Teachers, Except Special Education ",0.653
256,53-2021 ,Air Traffic Controllers ,0.648
257,2608503,Architectural and Engineering Managers ,0.647
258,25-2023 ,"Career/Technical Education Teachers, Middle School ",0.647
259,2601198,Construction Managers ,0.636
260,13-2021 ,Appraisers and Assessors of Real Estate ,0.628
261,39-1021 ,First-Line Supervisors of Personal Service Workers ,0.628
262,2607772,"Education Administrators, All Other ",0.628
263,29-1069 ,"Physicians and Surgeons, All Other ",0.619
264,33-9021 ,Private Detectives and Investigators ,0.615
265,17-1011 ,"Architects, Except Landscape and Naval ",0.61
266,19-1013 ,Soil and Plant Scientists ,0.609
267,29-9011 ,Occupational Health and Safety Specialists ,0.598
268,13-1032 ,"Insurance Appraisers, Auto Damage ",0.582
269,17-2199 ,"Engineers, All Other ",0.581
270,27-2011 ,Actors ,0.578
271,19-1012 ,Food Scientists and Technologists ,0.573
272,13-1041 ,Compliance Officers ,0.572
273,29-1051 ,Pharmacists ,0.571
274,19-2042 ,"Geoscientists, Except Hydrologists and Geographers ",0.567
275,27-1021 ,Commercial and Industrial Designers ,0.56
276,21-1093 ,Social and Human Service Assistants ,0.557
277,19-2043 ,Hydrologists ,0.555
278,17-3011 ,Architectural and Civil Drafters ,0.554
279,29-1081 ,Podiatrists ,0.554
280,17-3022 ,Civil Engineering Technicians ,0.553
281,39-7012 ,Travel Guides ,0.553
282,29-2071 ,Medical Records and Health Information Technicians ,0.552
283,27-1024 ,Graphic Designers ,0.527
284,13-1121 ,"Meeting, Convention, and Event Planners ",0.513
285,27-1022 ,Fashion Designers ,0.508
286,43-9022 ,Word Processors and Typists ,0.507
287,43-3041 ,Gaming Cage Workers ,0.496
288,15-1143 ,Computer Network Architects ,0.495
289,15-1142 ,Network and Computer Systems Administrators ,0.475
290,19-1022 ,Microbiologists ,0.474
291,17-1021 ,Cartographers and Photogrammetrists ,0.472
292,2623113,Lodging Managers ,0.464
293,29-2092 ,Hearing Aid Specialists ,0.458
294,17-2072 ,"Electronics Engineers, Except Computer ",0.457
295,15-2091 ,Mathematical Technicians ,0.438
296,33-9031 ,Gaming Surveillance Officers and Gaming Investigators ,0.433
297,27-1014 ,Multimedia Artists and Animators ,0.432
298,43-3071 ,Tellers ,0.431
299,43-4181 ,Reservation and Transportation Ticket Agents and Travel Clerks ,0.423
300,25-2032 ,"Career/Technical Education Teachers, Secondary School ",0.422
301,51-8011 ,Nuclear Power Reactor Operators ,0.409
302,43-9011 ,Computer Operators ,0.408
303,29-1125 ,Recreational Therapists ,0.401
304,25-1194 ,"Vocational Education Teachers, Postsecondary ",0.39
305,17-3013 ,Mechanical Drafters ,0.382
306,39-3012 ,Gaming and Sports Book Writers and Runners ,0.365
307,29-1064 ,Obstetricians and Gynecologists ,0.364
308,41-2031 ,Retail Salespersons ,0.357
309,420700,Industrial Production Managers ,0.354
310,17-3026 ,Industrial Engineering Technicians ,0.347
311,17-2121 ,Marine Engineers and Naval Architects ,0.343
312,27-4014 ,Sound Engineering Technicians ,0.338
313,2615808,Funeral Service Managers ,0.337
314,41-9011 ,Demonstrators and Product Promoters ,0.334
315,29-9012 ,Occupational Health and Safety Technicians ,0.329
316,19-1023 ,Zoologists and Wildlife Biologists ,0.327
317,19-2031 ,Chemists ,0.327
318,15-1151 ,Computer User Support Specialists ,0.326
319,25-2011 ,"Preschool Teachers, Except Special Education ",0.322
320,27-2022 ,Coaches and Scouts ,0.319
321,29-1128 ,Exercise Physiologists ,0.307
322,29-1161 ,Nurse Midwives ,0.305
323,29-1171 ,Nurse Practitioners ,0.302
324,27-2042 ,Musicians and Singers ,0.29
325,39-3093 ,"Locker Room, Coatroom, and Dressing Room Attendants ",0.279
326,29-9099 ,"Healthcare Practitioners and Technical Workers, All Other ",0.279
327,43-4121 ,"Library Assistants, Clerical ",0.276
328,29-1141 ,Registered Nurses ,0.272
329,25-9011 ,Audio-Visual and Multimedia Collections Specialists ,0.272
330,29-1122 ,Occupational Therapists ,0.266
331,51-8012 ,Power Distributors and Dispatchers ,0.257
332,31-9099 ,"Healthcare Support Workers, All Other ",0.252
333,53-2022 ,Airfield Operations Specialists ,0.246
334,43-4071 ,File Clerks ,0.24
335,31-9092 ,Medical Assistants ,0.236
336,29-1061 ,Anesthesiologists ,0.212
337,41-1011 ,First-Line Supervisors of Retail Sales Workers ,0.201
338,17-3021 ,Aerospace Engineering and Operations Technicians ,0.201
339,29-1041 ,Optometrists ,0.2
340,35-9031 ,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop ",0.182
341,25-4031 ,Library Technicians ,0.18
342,19-4099 ,"Life, Physical, and Social Science Technicians, All Other ",0.176
343,43-9021 ,Data Entry Keyers ,0.172
344,33-3021 ,Detectives and Criminal Investigators ,0.151
345,41-2021 ,Counter and Rental Clerks ,0.143
346,53-1021 ,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.138
347,21-1094 ,Community Health Workers ,0.135
348,29-1151 ,Nurse Anesthetists ,0.134
349,19-4021 ,Biological Technicians ,0.133
350,53-6041 ,Traffic Technicians ,0.129
351,29-2091 ,Orthotists and Prosthetists ,0.126
352,39-9032 ,Recreation Workers ,0.097
353,29-2057 ,Ophthalmic Medical Technicians ,0.083
354,17-3023 ,Electrical and Electronic Engineering Technicians ,0.078
355,19-1031 ,Conservation Scientists ,0.074
356,53-1031 ,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators ,0.068
357,47-4011 ,Construction and Building Inspectors ,0.068
358,2612155,Food Service Managers ,0.061
359,29-1011 ,Chiropractors ,0.052
360,29-1071 ,Physician Assistants ,0.04
361,39-3011 ,Gaming Dealers ,0.03
362,29-2081 ,"Opticians, Dispensing ",0.029
363,39-1012 ,Slot Supervisors ,0.027
364,29-1023 ,Orthodontists ,0.021
365,19-4092 ,Forensic Science Technicians ,0.01
366,29-2053 ,Psychiatric Technicians ,-0.001
367,51-5111 ,Prepress Technicians and Workers ,-0.001
368,45-2011 ,Agricultural Inspectors ,-0.008
369,41-2022 ,Parts Salespersons ,-0.014
370,33-9099 ,"Protective Service Workers, All Other ",-0.017
371,29-2033 ,Nuclear Medicine Technologists ,-0.023
372,29-2052 ,Pharmacy Technicians ,-0.023
373,19-4041 ,Geological and Petroleum Technicians ,-0.027
374,31-9095 ,Pharmacy Aides ,-0.028
375,51-1011 ,First-Line Supervisors of Production and Operating Workers ,-0.037
376,39-5094 ,Skincare Specialists ,-0.037
377,29-2011 ,Medical and Clinical Laboratory Technologists ,-0.042
378,19-4011 ,Agricultural and Food Science Technicians ,-0.049
379,29-1123 ,Physical Therapists ,-0.059
380,43-9031 ,Desktop Publishers ,-0.065
381,31-2011 ,Occupational Therapy Assistants ,-0.075
382,39-5092 ,Manicurists and Pedicurists ,-0.079
383,17-3029 ,"Engineering Technicians, Except Drafters, All Other ",-0.079
384,29-1131 ,Veterinarians ,-0.084
385,29-2054 ,Respiratory Therapy Technicians ,-0.088
386,19-4051 ,Nuclear Technicians ,-0.091
387,19-4031 ,Chemical Technicians ,-0.094
388,29-9091 ,Athletic Trainers ,-0.095
389,41-2012 ,Gaming Change Persons and Booth Cashiers ,-0.104
390,41-2011 ,Cashiers ,-0.107
391,27-4012 ,Broadcast Technicians ,-0.111
392,25-4013 ,Museum Technicians and Conservators ,-0.111
393,39-3031 ,"Ushers, Lobby Attendants, and Ticket Takers ",-0.111
394,49-1011 ,"First-Line Supervisors of Mechanics, Installers, and Repairers ",-0.114
395,39-4031 ,"Morticians, Undertakers, and Funeral Directors ",-0.114
396,53-6061 ,"Transportation Attendants, Except Flight Attendants ",-0.118
397,27-4011 ,Audio and Video Equipment Technicians ,-0.12
398,17-1022 ,Surveyors ,-0.121
399,17-3025 ,Environmental Engineering Technicians ,-0.124
400,29-2051 ,Dietetic Technicians ,-0.128
401,29-2031 ,Cardiovascular Technologists and Technicians ,-0.131
402,29-2035 ,Magnetic Resonance Imaging Technologists ,-0.137
403,19-4091 ,"Environmental Science and Protection Technicians, Including Health",-0.143
404,29-1067 ,Surgeons ,-0.145
405,27-2023 ,"Umpires, Referees, and Other Sports Officials ",-0.145
406,35-1012 ,First-Line Supervisors of Food Preparation and Serving Workers ,-0.15
407,33-2021 ,Fire Inspectors and Investigators ,-0.152
